group,traj,frame,particle,label
1,4,500,769,0
1,8,700,656,1
1,2,200,590,0
1,7,200,392,1
1,9,700,695,1
1,6,600,456,1
1,4,600,125,1
1,8,200,499,1
1,6,700,357,1
1,8,400,55,1
1,9,600,723,1
1,7,500,221,1
1,5,800,358,0
1,6,200,784,1
1,4,700,253,1
1,0,300,624,1
1,5,100,391,1
1,3,900,863,0
1,3,300,492,0
1,4,100,838,1
1,9,200,795,1
1,4,400,595,1
1,9,600,593,1
1,0,700,245,0
1,8,300,143,1
1,7,800,535,1
1,6,300,27,1
1,5,100,646,1
1,5,900,25,0
1,3,700,821,0
1,8,300,240,1
1,7,700,175,1
1,5,200,433,1
1,1,500,40,0
1,0,200,408,0
1,2,700,803,0
1,4,800,254,1
1,4,100,783,1
1,3,100,197,0
1,8,400,401,1
1,1,100,448,0
1,7,100,815,1
1,3,400,673,0
1,9,700,60,1
1,3,300,199,0
1,5,700,723,0
1,8,400,479,1
1,4,900,355,0
1,1,400,344,1
1,9,200,752,1
1,1,400,680,0
1,8,600,248,1
1,6,100,210,1
1,4,700,354,0
1,3,800,141,0
1,5,100,771,1
1,1,900,595,0
1,0,900,74,0
1,1,800,237,0
1,5,600,455,0
1,9,100,728,1
1,8,200,505,1
1,0,700,172,0
1,0,600,23,0
1,5,200,615,1
1,5,100,218,1
1,7,600,342,1
1,8,300,634,1
1,0,600,520,0
1,2,100,605,0
1,0,500,479,0
1,5,200,313,1
1,5,500,149,0
1,1,500,546,0
1,4,600,733,0
1,3,200,147,1
1,6,800,152,1
1,7,400,319,1
1,5,400,643,1
1,9,900,687,1
1,3,800,295,0
1,7,600,564,1
1,9,400,667,1
1,4,100,246,1
1,8,500,554,1
1,3,300,787,0
1,8,400,119,1
1,9,900,577,1
1,3,100,472,0
1,0,200,82,0
1,2,100,178,0
1,8,100,693,1
1,1,200,179,0
1,8,900,341,1
1,7,700,618,1
1,1,600,268,0
1,7,800,614,1
1,0,700,254,0
1,8,300,305,1
1,6,200,764,1
1,4,700,424,0
1,5,800,142,1
